inv-swi-rcnn-rec_prec					
inv-swi-nms_10			inv-swi-rcnn-nms_10		
confidence_threshold	Recall	Precision	confidence_threshold	Recall	Precision
0.0	67.55386565272497	70.13157894736842	0.0	85.55133079847909	88.46657929226737
0.001	67.55386565272497	70.13157894736842	0.001	85.55133079847909	88.46657929226737
0.002	67.55386565272497	70.13157894736842	0.002	85.55133079847909	88.46657929226737
0.003	67.55386565272497	70.13157894736842	0.003	85.55133079847909	88.46657929226737
0.004	67.55386565272497	70.13157894736842	0.004	85.55133079847909	88.46657929226737
0.005	67.55386565272497	70.13157894736842	0.005	85.55133079847909	88.46657929226737
0.006	67.55386565272497	70.13157894736842	0.006	85.55133079847909	88.46657929226737
0.007	67.55386565272497	70.13157894736842	0.007	85.55133079847909	88.46657929226737
0.008	67.55386565272497	70.13157894736842	0.008	85.55133079847909	88.46657929226737
0.009	67.55386565272497	70.13157894736842	0.009	85.55133079847909	88.46657929226737
0.01	67.55386565272497	70.13157894736842	0.01	85.55133079847909	88.46657929226737
0.011	67.55386565272497	70.13157894736842	0.011	85.55133079847909	88.46657929226737
0.012	67.55386565272497	70.13157894736842	0.012	85.55133079847909	88.46657929226737
0.013	67.55386565272497	70.13157894736842	0.013	85.55133079847909	88.46657929226737
0.014	67.55386565272497	70.13157894736842	0.014	85.55133079847909	88.46657929226737
0.015	67.55386565272497	70.13157894736842	0.015	85.55133079847909	88.46657929226737
0.016	67.55386565272497	70.13157894736842	0.016	85.55133079847909	88.46657929226737
0.017	67.55386565272497	70.13157894736842	0.017	85.55133079847909	88.46657929226737
0.018	67.55386565272497	70.13157894736842	0.018	85.55133079847909	88.46657929226737
0.019	67.55386565272497	70.13157894736842	0.019	85.55133079847909	88.46657929226737
0.02	67.55386565272497	70.13157894736842	0.02	85.55133079847909	88.46657929226737
0.021	67.55386565272497	70.13157894736842	0.021	85.55133079847909	88.46657929226737
0.022	67.55386565272497	70.13157894736842	0.022	85.55133079847909	88.46657929226737
0.023	67.55386565272497	70.13157894736842	0.023	85.55133079847909	88.46657929226737
0.024	67.55386565272497	70.13157894736842	0.024	85.55133079847909	88.46657929226737
0.025	67.55386565272497	70.13157894736842	0.025	85.55133079847909	88.46657929226737
0.026	67.55386565272497	70.13157894736842	0.026	85.55133079847909	88.46657929226737
0.027	67.55386565272497	70.13157894736842	0.027	85.55133079847909	88.46657929226737
0.028	67.55386565272497	70.13157894736842	0.028	85.55133079847909	88.46657929226737
0.029	67.55386565272497	70.13157894736842	0.029	85.55133079847909	88.46657929226737
0.03	67.55386565272497	70.13157894736842	0.03	85.55133079847909	88.46657929226737
0.031	67.55386565272497	70.13157894736842	0.031	85.55133079847909	88.46657929226737
0.032	67.55386565272497	70.13157894736842	0.032	85.55133079847909	88.46657929226737
0.033	67.55386565272497	70.13157894736842	0.033	85.55133079847909	88.46657929226737
0.034	67.55386565272497	70.13157894736842	0.034	85.55133079847909	88.46657929226737
0.035	67.55386565272497	70.13157894736842	0.035	85.55133079847909	88.46657929226737
0.036	67.55386565272497	70.13157894736842	0.036	85.55133079847909	88.46657929226737
0.037	67.55386565272497	70.13157894736842	0.037	85.55133079847909	88.46657929226737
0.038	67.55386565272497	70.13157894736842	0.038	85.55133079847909	88.46657929226737
0.039	67.55386565272497	70.13157894736842	0.039	85.55133079847909	88.46657929226737
0.04	67.55386565272497	70.13157894736842	0.04	85.55133079847909	88.46657929226737
0.041	67.55386565272497	70.13157894736842	0.041	85.55133079847909	88.46657929226737
0.042	67.55386565272497	70.13157894736842	0.042	85.55133079847909	88.46657929226737
0.043	67.55386565272497	70.13157894736842	0.043	85.55133079847909	88.46657929226737
0.044	67.55386565272497	70.13157894736842	0.044	85.55133079847909	88.46657929226737
0.045	67.55386565272497	70.13157894736842	0.045	85.55133079847909	88.46657929226737
0.046	67.55386565272497	70.13157894736842	0.046	85.55133079847909	88.46657929226737
0.047	67.55386565272497	70.13157894736842	0.047	85.55133079847909	88.46657929226737
0.048	67.55386565272497	70.13157894736842	0.048	85.55133079847909	88.46657929226737
0.049	67.55386565272497	70.13157894736842	0.049	85.55133079847909	88.46657929226737
0.05	67.55386565272497	70.13157894736842	0.05	85.55133079847909	88.46657929226737
0.051	67.55386565272497	70.2239789196311	0.051	85.55133079847909	88.46657929226737
0.052	67.55386565272497	70.31662269129288	0.052	85.42458808618505	88.4514435695538
0.053	67.55386565272497	70.31662269129288	0.053	85.42458808618505	88.4514435695538
